DATE,INDPRO
2/1/1969,38.4398
3/1/1969,38.7412
4/1/1969,38.5987
5/1/1969,38.4528
6/1/1969,38.8285
7/1/1969,39.0334
8/1/1969,39.1231
9/1/1969,39.1143
10/1/1969,39.1258
11/1/1969,38.757
12/1/1969,38.653
1/1/1970,37.9372
2/1/1970,37.9122
3/1/1970,37.863
4/1/1970,37.7656
5/1/1970,37.7216
6/1/1970,37.5996
7/1/1970,37.6919
8/1/1970,37.6247
9/1/1970,37.3654
10/1/1970,36.6179
11/1/1970,36.3961
12/1/1970,37.232
1/1/1971,37.5184
2/1/1971,37.4469
3/1/1971,37.4063
4/1/1971,37.6164
5/1/1971,37.8073
6/1/1971,37.9658
7/1/1971,37.8556
8/1/1971,37.6359
9/1/1971,38.2476
10/1/1971,38.5339
11/1/1971,38.6974
12/1/1971,39.1441
1/1/1972,40.0823
2/1/1972,40.485
3/1/1972,40.7718
4/1/1972,41.1759
5/1/1972,41.1792
6/1/1972,41.2864
7/1/1972,41.2475
8/1/1972,41.8173
9/1/1972,42.1375
10/1/1972,42.6806
11/1/1972,43.1838
12/1/1972,43.669
1/1/1973,43.9874
2/1/1973,44.6275
3/1/1973,44.6439
4/1/1973,44.5779
5/1/1973,44.8726
6/1/1973,44.9269
7/1/1973,45.0921
8/1/1973,45.0305
9/1/1973,45.3912
10/1/1973,45.7542
11/1/1973,45.9606
12/1/1973,45.8321
1/1/1974,45.5297
2/1/1974,45.3982
3/1/1974,45.3907
4/1/1974,45.253
5/1/1974,45.6185
6/1/1974,45.5354
7/1/1974,45.6196
8/1/1974,45.1411
9/1/1974,45.1475
10/1/1974,45.0063
11/1/1974,43.5222
12/1/1974,41.9572
1/1/1975,41.3766
2/1/1975,40.4317
3/1/1975,39.9919
4/1/1975,40.066
5/1/1975,39.9521
6/1/1975,40.2049
7/1/1975,40.6187
8/1/1975,41.0204
9/1/1975,41.5526
10/1/1975,41.7303
11/1/1975,41.7882
12/1/1975,42.3527
1/1/1976,42.9179
2/1/1976,43.3469
3/1/1976,43.4396
4/1/1976,43.6562
5/1/1976,43.842
6/1/1976,43.8892
7/1/1976,44.1328
8/1/1976,44.4373
9/1/1976,44.5848
10/1/1976,44.5707
11/1/1976,45.2543
12/1/1976,45.7422
1/1/1977,45.4293
2/1/1977,46.1459
3/1/1977,46.7314
4/1/1977,47.188
5/1/1977,47.552
6/1/1977,47.9155
7/1/1977,47.9773
8/1/1977,48.0266
9/1/1977,48.2179
10/1/1977,48.295
11/1/1977,48.3823
12/1/1977,48.4679
1/1/1978,47.7604
2/1/1978,48.0271
3/1/1978,48.9459
4/1/1978,49.9198
5/1/1978,50.1602
6/1/1978,50.4826
7/1/1978,50.4464
8/1/1978,50.6531
9/1/1978,50.7724
10/1/1978,51.1649
11/1/1978,51.5582
12/1/1978,51.8153
1/1/1979,51.5359
2/1/1979,51.7994
3/1/1979,51.9544
4/1/1979,51.334
5/1/1979,51.7922
6/1/1979,51.7961
7/1/1979,51.7124
8/1/1979,51.3766
9/1/1979,51.3741
10/1/1979,51.7268
11/1/1979,51.6422
12/1/1979,51.6763
1/1/1980,51.9545
2/1/1980,51.9779
3/1/1980,51.7565
4/1/1980,50.7369
5/1/1980,49.49
6/1/1980,48.8505
7/1/1980,48.4997
8/1/1980,48.6554
9/1/1980,49.4677
10/1/1980,50.0947
11/1/1980,50.9311
12/1/1980,51.2644
1/1/1981,50.9453
2/1/1981,50.7332
3/1/1981,50.9922
4/1/1981,50.778
5/1/1981,51.0667
6/1/1981,51.3355
7/1/1981,51.6646
8/1/1981,51.6049
9/1/1981,51.3527
10/1/1981,50.9581
11/1/1981,50.3634
12/1/1981,49.8181
1/1/1982,48.7979
2/1/1982,49.7942
3/1/1982,49.459
4/1/1982,49.0072
5/1/1982,48.6784
6/1/1982,48.5529
7/1/1982,48.3859
8/1/1982,47.9495
9/1/1982,47.8258
10/1/1982,47.3656
11/1/1982,47.2148
12/1/1982,46.8797
1/1/1983,47.7491
2/1/1983,47.4548
3/1/1983,47.8516
4/1/1983,48.4511
5/1/1983,48.7542
6/1/1983,49.0496
7/1/1983,49.7773
8/1/1983,50.3727
9/1/1983,51.098
10/1/1983,51.4993
11/1/1983,51.727
12/1/1983,51.9886
1/1/1984,53.0175
2/1/1984,53.2651
3/1/1984,53.5145
4/1/1984,53.8319
5/1/1984,54.1204
6/1/1984,54.3133
7/1/1984,54.4644
8/1/1984,54.53
9/1/1984,54.3775
10/1/1984,54.3528
11/1/1984,54.5344
12/1/1984,54.5608
1/1/1985,54.5342
2/1/1985,54.7019
3/1/1985,54.7739
4/1/1985,54.6662
5/1/1985,54.7472
6/1/1985,54.7211
7/1/1985,54.4381
8/1/1985,54.619
9/1/1985,54.82
10/1/1985,54.6304
11/1/1985,54.8176
12/1/1985,55.3596
1/1/1986,55.6511
2/1/1986,55.27
3/1/1986,54.8828
4/1/1986,54.9456
5/1/1986,55.0535
6/1/1986,54.837
7/1/1986,55.1716
8/1/1986,55.0792
9/1/1986,55.2317
10/1/1986,55.4645
11/1/1986,55.6854
12/1/1986,56.212
1/1/1987,56.0012
2/1/1987,56.7438
3/1/1987,56.8235
4/1/1987,57.1954
5/1/1987,57.5498
6/1/1987,57.8603
7/1/1987,58.2501
8/1/1987,58.6889
9/1/1987,58.9137
10/1/1987,59.7083
11/1/1987,60.0022
12/1/1987,60.3336
1/1/1988,60.3186
2/1/1988,60.6209
3/1/1988,60.7591
4/1/1988,61.1144
5/1/1988,60.9952
6/1/1988,61.1697
7/1/1988,61.1749
8/1/1988,61.4851
9/1/1988,61.2844
10/1/1988,61.5595
11/1/1988,61.7128
12/1/1988,61.9983
1/1/1989,62.1789
2/1/1989,61.9074
3/1/1989,62.0592
4/1/1989,62.0424
5/1/1989,61.6948
6/1/1989,61.6915
7/1/1989,61.0978
8/1/1989,61.6949
9/1/1989,61.4839
10/1/1989,61.4105
11/1/1989,61.6172
12/1/1989,61.9635
1/1/1990,61.644
2/1/1990,62.2108
